Clear,Clouds,Snow
2050,959,5554
269,498,6414
412,306,6857
411,259,4929
317,324,4897
252,4378,5268
380,4639,5873
4312,4546,5023
4494,5006,4367
689,5361,4813
536,6101,1021
322,5781,696
271,4272,535
426,3091,353
726,1383,3455
910,959,4420
5215,511,2545
4315,346,746
4497,253,2449
4799,349,6870
4884,807,6256
5234,2669,4286
5665,5210,4438
6428,6083,669
6092,5790,2052
4317,5484,2755
3137,4407,3991
2647,4725,4799
2194,4826,4799
1523,5065,5708
949,6094,2460
510,5844,2608
2691,4649,337
2297,3180,2196
1568,2963,774
1020,2450,2605
5101,1613,807
382,1021,2419
340,298,5325
381,5062,5032
784,1979,3866
2468,1284,3866
5503,6348,3959
4551,5955,3959
3186,5341,4200
2773,4144,4200
2360,3249,4723
1811,3017,4723
2544,2765,5177
381,1894,6202
264,1159,5789
341,822,4095
783,641,2782
2612,411,2452
5900,2191,2060
5345,3185,1407
4536,4076,958
4757,6012,522
4961,5975,332
4967,5307,289
5346,4678,343
5867,4405,782
6605,4403,6655
6074,4311,6198
4557,4198,771
3177,3475,6943
2788,3078,6098
2416,2931,4528
1946,2941,3330
938,2240,2909
1438,1564,2909
1916,795,3005
2483,447,3814
2299,443,3814
1824,330,1613
1227,453,1613
741,755,792
531,953,465
407,4139,349
394,3892,360
651,3989,268
1048,4294,426
1451,4521,962
2100,4280,1647
3111,3945,3234
3705,3169,3580
4164,2772,4143
4300,2213,3126
4350,1570,2731
4243,1065,2343
4332,530,1489
4678,316,295
2694,799,220
2567,2513,751
2451,5503,6125
1063,6642,4654
685,6195,1059
3292,5246,829
3838,4460,545
4039,4580,367
3474,4836,367
3071,5138,387
2537,5606,387
2254,6120,664
2099,5985,664
1847,4418,1188
3559,3089,1943
2739,2636,2976
2788,2117,2976
2938,1437,3524
2934,920,3890
2944,600,4212
2941,393,4600
2795,298,4776
2370,762,4492
1758,2519,4588
1079,5478,4725
539,6728,4301
285,5972,3394
252,5280,2782
275,4626,2929
558,4947,2441
1880,5125,1799
3922,5130,1093
4087,5394,785
4209,5837,612
4699,6222,368
4935,5992,252
5203,4578,454
4434,3246,696
5652,2834,996
4654,2578,1633
3629,1979,2459
2651,1326,5615
2387,541,4861
3059,6079,5373
2277,5309,5692
1126,4567,371
4965,4804,2410
4419,5041,3865
745,5051,3865
1747,5274,3380
3121,5936,2935
2298,6128,2885
2154,5821,3296
1732,4040,3900
1589,2711,2584
1235,2690,2176
845,5892,1770
437,5073,994
295,5286,994
293,5189,266
717,6306,266
2353,4867,792
5366,3501,792
5829,3110,2542
5026,2727,2542
5315,1825,6157
5636,611,6157
6256,331,5393
5900,365,5869
4353,708,6720
3135,2379,6271
2674,5236,4906
2463,6509,3418
2064,5723,2559
1517,5239,5239
375,4723,380
652,5330,438
1597,5403,4129
2339,5446,6558
3177,6093,6850
3482,6323,4969
3813,5856,5188
4406,4987,5774
4191,3681,4628
4296,2902,739
4387,2929,5664
1933,1166,5664
1873,724,1329
1602,568,2224
951,343,3570
608,383,3570
318,1229,4108
3762,2057,4815
248,3246,5155
5839,4390,4905
4709,4573,4386
4131,4269,3572
4294,4833,3572
754,4442,3620
4902,4397,2919
2474,4314,687
2365,4413,734
1070,4125,5496
557,4004,5496
334,3404,6574
308,2777,6574
2367,2579,5005
5163,2552,5005
222,1952,4304
281,2125,4755
1347,730,4802
909,730,5862
487,345,6416
325,223,4438
246,488,3463
289,710,2730
731,1165,2212
2432,2911,4529
6493,3527,3444
989,3765,4949
498,4063,5122
330,4043,5836
792,4200,5386
4987,4105,6581
5709,4015,5684
4333,3620,4504
4623,3652,2169
4849,2837,1556
4984,2446,4719
5354,1950,4426
6019,1451,4377
4425,1720,4160
3188,1299,3050
2807,304,2712
3090,412,4793
2171,2562,4958
542,5658,1019
4582,5981,582
3243,4999,330
2761,4408,330
2646,4575,238
1787,4710,3803
1147,4648,2777
602,5022,2452
5953,5490,1306
6514,5973,661
859,5230,380
2593,4567,713
3209,4769,2407
2538,5011,2407
5307,4889,5001
6391,2927,5001
3156,2594,5652
2843,2347,5652
2521,1219,6036
1887,783,5197
1172,357,5197
590,286,4513
937,396,4513
1198,791,5071
1909,2681,5393
2689,5614,5446
3438,6834,4956
3885,6280,3085
4420,5460,2866
4897,4670,2774
5884,5071,1695
4790,5246,1128
5463,5039,1128
4141,5411,707
4195,5866,551
4591,6556,351
5100,6204,351
5523,4688,366
5376,3326,366
4364,3229,701
4435,2790,1402
6087,1946,2163
3281,1181,2943
3282,649,3766
4383,422,4668
4799,340,4823
4710,365,4759
4621,683,4718
4880,2471,4385
4374,5304,3319
559,5532,2881
333,5816,2999
264,5958,4816
2611,6455,2254
5875,6154,1329
6759,5330,860
2977,3540,690
4637,2496,350
4726,1707,253
4880,371,459
4436,397,730
4072,696,982
3560,1932,3303
2990,2952,3655
3045,3529,2541
2642,3837,5806
1785,4338,7082
740,4762,6126
4165,4367,4916
3369,4369,4386
2185,4677,4552
2231,4025,4755
4570,3128,4880
911,2905,5222
4964,2853,5809
5276,3288,6683
6723,2239,3096
6153,2173,2727
3234,2892,2498
2987,4362,1577
1635,4619,1532
1034,4755,1532
326,5187,889
244,5186,889
791,3854,516
2607,2641,338
5685,367,261
6986,317,313
6250,775,2339
5206,4924,4931
6619,5409,5399
1196,5664,3940
861,6436,4228
4068,6212,4614
3342,4324,4871
3961,2948,4871
2149,2604,5118
795,2192,5118
666,1346,5616
277,535,5616
449,4864,6160
697,6415,5861
1039,7189,5861
1827,6968,4728
2660,5182,4728
3322,3536,3715
3688,3052,3240
4300,2665,3240
4173,2044,3164
4348,1841,3164
2934,575,3074
6023,325,3074
4822,294,2043
3125,371,2043
1198,817,1190
747,2657,1190
624,5814,728
3997,6761,571
2579,6171,425
368,5387,390
2460,4704,743
658,5114,1421
331,5597,2150
340,5801,3197
771,6570,3745
4336,6396,4079
4423,4717,4619
5615,3398,5035
4580,3258,4950
4759,2681,301
5083,1367,770
4524,662,2617
3461,3031,5657
3751,3842,7062
3350,4233,6112
4700,4416,5544
3358,4753,5544
2602,4525,6519
2231,4628,6345
2372,4546,6345
815,4516,4641
970,4468,4641
3371,3265,3181
4272,2608,3181
3543,2770,2904
2880,1052,2904
2206,3232,3923
1729,3630,2846
593,3999,2846
308,4075,1179
822,3966,1179
3992,4083,555
3804,4277,362
2946,4368,276
472,3504,340
5067,3575,759
6761,2702,2615
6010,2007,736
5266,1505,5857
4438,961,5155
4728,476,4492
4814,311,4948
4906,268,5161
5470,364,5556
5786,789,6100
6608,2579,6752
3080,5546,337
2660,6831,345
1727,5884,3400
1013,5133,3400
595,4518,4037
357,4564,4418
282,5118,4881
306,5473,4991
744,6276,4874
2581,5908,4978
5568,4239,1715
6847,3011,3391
5023,2644,4655
4433,2150,859
5581,1539,305
6466,970,5447
6246,504,5995
4747,327,6209
3272,254,6238
3066,346,232
3474,775,343
1432,2568,775
789,5647,3157
435,6824,3019
374,5989,814
360,5419,6076
673,4826,5104
2357,5003,4455
5183,5099,5655
6399,5264,4895
5560,5561,4795
4730,5721,3611
4814,6521,2217
5241,6019,4739
5460,4525,5133
5418,5656,5651
5807,5561,3203
5954,5963,2894
6497,5928,2431
6059,5733,613
4762,4964,365
3718,4179,371
3123,3267,822
4233,2787,2744
3226,2432,4540
1887,1972,4025
1266,1399,4173
798,881,3876
580,1094,3869
436,1119,3519
394,2477,3556
734,3245,3880
1191,3461,4007
2004,3213,4409
2918,3090,4315
3763,3068,4132
4081,3152,3126
4531,3023,892
4999,3083,508
5000,3010,326
4740,3002,5117
5505,2533,4179
6264,1958,4410
4678,1390,4752
4229,693,5995
3613,482,5686
3386,370,271
4260,341,425
2077,456,797
1297,1105,981
875,2069,1539
647,2381,2087
361,2364,2663
277,2783,2820
464,3230,3313
738,3586,3453
1180,3947,3303
1774,3800,3344
2742,4231,3363
3550,3178,3257
4409,3880,3033
4604,4206,2926
4652,4204,1744
4502,4449,1390
4471,4357,840
4111,3905,471
2677,3068,291
1581,2779,231
1994,1366,307
221,2222,807
318,2918,4719
724,3413,4177
2532,3724,4143
5550,3949,1008
6784,4076,276
5829,4729,257
4869,4880,362
4545,4435,791
4878,3749,2627
4895,3381,4822
5170,2809,4481
5546,2150,2572
6376,925,1835
5831,524,532
4279,293,364
2981,258,256
2738,337,5073
5646,771,5486
6218,2496,6049
3251,5529,2730
2941,6752,2957
2741,5787,2627
5963,4699,1664
4991,4271,1144
4473,4314,681
4804,4603,506
5024,4816,365
5035,6238,432
5517,5761,804
5866,4022,1218
6217,2874,1868
5892,2362,2611
4577,2098,3341
3513,1342,3485
3235,944,4001
3005,459,4395
2034,303,4825
1273,337,4687
777,6768,4441
440,6116,4756
353,342,4670
304,245,3878
679,352,3179
2008,759,338
4537,2638,803
5540,5816,4795
4687,6995,3799
5908,6071,3567
5998,5228,3916
4520,4570,3914
3461,4809,339
3100,4839,4703
2903,4837,4941
1854,5290,2789
1092,5621,2563
706,6116,2283
542,5813,1190
380,4314,610
4443,3077,424
3287,561,364
4003,358,415
4159,279,800
4201,363,336
4246,784,3822
4094,2612,4554
3527,5608,4403
4507,7020,4535
3444,6072,4634
2630,5403,4751
571,4566,4526
320,4906,2777
267,5081,2747
321,5463,2492
763,5945,541
2518,6489,323
5678,6078,272
7009,4522,785
6310,3293,1009
5181,2913,1600
4459,2571,2491
4761,1070,3371
5082,591,3627
4962,6615,3812
5358,5913,3273
5875,5171,2471
6527,4840,2219
6326,5263,2111
4692,5446,1796
3382,5746,1002
2928,6110,555
2441,6749,362
1632,5518,278
956,5420,351
587,3618,644
359,3020,2050
268,2987,3983
305,2644,4640
748,1799,4256
2573,1103,4314
5739,702,4344
6596,588,4769
6637,411,4978
5326,384,5294
4708,748,1342
4906,1274,4145
5720,5231,4037
6545,5292,3196
6348,5657,1657
4649,6647,1978
3361,6434,2221
2876,5922,2010
2588,6888,164
2456,1056,462
1349,536,538
608,348,675
366,273,1174
275,382,1685
355,780,2089
762,2627,2683
2605,5545,1035
5539,6789,584
6836,6298,326
6410,5391,247
5373,4540,308
4825,5001,583
5365,5098,3289
5080,5113,3464
5180,5522,4203
5600,5879,4534
5992,6695,4874
3521,6587,4965
3105,4564,1057
2792,3429,3792
1194,2983,3793
632,3225,3829
5321,2092,3672
5517,1204,3285
5541,629,3781
5855,419,4233
6234,322,3938
6390,743,3835
5823,2480,1413
4995,6012,942
3604,5253,4446
2870,4832,4872
2913,5404,5008
2205,5654,5302
1610,5727,5463
1037,5918,5439
622,5938,1300
508,6082,812
349,5376,318
371,4270,2789
707,3231,3607
1953,2617,2621
2952,2995,2488
4070,2652,3355
4569,1667,4400
312,1072,2313
284,674,2107
3298,526,831
3507,356,332
4342,418,242
2505,713,401
6278,1192,877
4356,1881,2389
3143,2687,3948
1418,3421,3080
907,3724,3746
514,4465,3740
267,5009,3454
234,3137,3764
303,2678,5258
2142,2911,4270
2813,2716,1501
321,1860,271
3416,774,393
1351,540,772
887,321,5381
648,291,5668
356,458,4021
273,759,3861
455,1686,3634
784,1715,3849
1125,1261,4008
1677,1031,4515
2510,944,6322
3263,982,5850
3485,5137,2923
4084,4202,2517
4268,4396,2269
4271,4519,1364
4542,4890,845
4358,5139,416
4401,5242,300
3490,4913,271
4079,4415,364
3310,2880,5607
2237,2425,4802
1606,2273,5120
4899,1007,4143
5086,5178,4423
3266,5310,728
2963,4313,2542
2705,4583,5335
1751,4810,4880
1009,5320,3449
571,5497,2888
350,6208,2415
276,5574,3639
314,4371,4032
733,3104,2723
2720,6038,3917
6766,5045,1922
6470,4531,1063
5236,5031,600
4604,5050,477
4332,4989,332
4575,5622,303
5385,5698,462
5426,6132,733
5361,5331,1190
4749,4534,5691
4797,3275,5848
4393,2982,3172
4036,2632,2398
3582,2074,935
3335,1158,317
3075,652,3533
2853,411,293
2265,371,5789
1446,447,5253
819,781,5323
604,2508,3057
390,5412,1194
284,6507,2142
493,5595,3232
1320,5113,2987
2076,4868,3002
3918,5297,2939
4361,5480,832
5034,5407,3494
4612,5519,4233
4546,6002,3930
4425,6185,5147
4475,5545,2823
4252,4080,1714
3909,4143,1123
2967,4347,480
2697,4088,275
2353,2822,990
2288,2420,5418
2372,2406,4740
578,2320,6376
383,1621,4267
267,1098,2534
274,704,1525
749,588,536
2608,5590,285
5783,3996,877
6851,2953,5832
6387,2391,5886
5104,2018,4568
4378,1385,5478
4641,966,4783
4889,511,4086
4845,332,4325
5245,248,5739
5654,359,5783
6271,812,587
2883,2528,269
563,2489,904
328,5007,5665
7217,4279,4593
6401,2677,5214
5329,1244,4479
4780,737,2649
5082,5578,5707
5399,5806,5029
6065,5999,4875
6725,5968,4981
6220,5264,5213
4533,4605,6033
3337,3725,6209
2699,3058,3441
1024,2795,3786
529,2724,1625
283,1843,705
341,4384,350
5169,3631,838
6017,3132,4911
5860,1693,5451
5208,577,5490
4493,261,6057
6421,660,1223
3211,895,434
5761,1417,5276
4583,2288,5167
6084,2955,5182
3657,3397,5222
3018,3324,3854
3124,3459,894
2972,664,1286
2005,401,765
1187,330,420
693,250,302
489,430,285
361,998,270
420,1940,462
1339,2440,843
4893,2174,1057
6466,2521,1472
6027,3008,2013
3253,3997,2351
2475,3821,3289
1524,4048,3518
1062,4032,3759
561,3759,3221
336,3099,3259
259,2536,329
319,1972,5565
733,2212,2988
6009,2463,2149
6739,2240,2165
6501,1542,888
5229,803,505
4657,575,363
4773,352,427
4961,191,763
5296,1787,2236
5919,2314,3568
6763,2549,3415
3229,2724,2979
2975,3745,3027
2503,3577,2989
1963,3708,3584
3874,4422,4301
910,5489,5056
460,5036,421
298,3838,2564
373,2796,2412
703,2327,1479
2774,2010,498
5956,1856,397
5351,1139,3709
5487,686,4199
4620,418,3922
4807,301,3983
5107,303,4150
3219,625,5054
1869,2085,5245
1093,4313,5747
576,4795,5467
373,4285,3576
262,4181,2768
364,4177,1802
756,4791,1513
4544,4920,1550
5598,5212,719
744,5352,4637
329,2134,4057
1167,1971,6071
1731,1182,2815
2512,652,2077
3253,452,926
3193,346,558
3544,394,323
3793,633,315
3678,1887,524
3391,3913,1081
3441,4353,2842
3280,3848,6270
3228,3860,4839
2771,3795,4517
2394,4471,4879
2147,4860,4738
226,5262,5811
378,1195,6438
631,752,3099
955,651,1241
3121,1997,628
1581,2933,359
878,2615,401
521,374,815
269,341,2547
227,4234,5960
289,4599,4749
718,4836,4428
2682,4976,4879
5790,3707,4933
6969,3294,5548
5972,2888,5982
5013,2588,3233
4402,1596,2506
4477,1439,1514
4778,1502,690
4774,576,480
5175,372,273
5794,640,850
6454,939,4984
6385,1243,4570
4620,2291,269
3205,2588,284
2789,2927,4873
2568,3012,5494
1686,2864,3921
958,2606,4135
580,5110,4477
324,4383,5310
238,4370,2535
344,2687,1963
755,2240,1215
2836,1828,484
6501,1424,326
6093,952,331
6653,349,486
6445,276,4222
3748,729,753
3530,2383,829
2286,5390,5394
1350,6431,5502
691,4273,4447
389,4230,4207
261,3781,4601
349,2342,2660
795,2502,2388
2764,3062,997
5952,2512,319
6618,2087,254
5449,278,345
6236,754,2593
4858,2398,5705
3536,5522,5122
3147,6681,4402
2934,4410,4688
2257,4642,3183
1254,5105,4823
648,5494,4545
382,6231,4906
277,5717,5246
335,4169,6708
752,2752,4269
2851,2229,2010
5903,1894,850
5265,1440,585
4537,961,966
5004,489,5538
5017,333,5460
5151,230,4469
5544,314,5346
6263,758,5529
3223,2432,3330
3265,5674,4385
2317,6771,1895
1313,6094,3093
475,4964,3590
311,4357,4166
365,4432,3865
727,4589,461
2514,4858,5511
5501,6486,6309
5740,6271,4332
5008,4677,2303
4619,2805,2826
5256,2528,1598
5422,2278,314
5616,1733,279
5570,4753,326
6366,4780,5407
6039,5217,4915
5153,5447,4148
3566,6394,5067
2928,6139,4439
2839,4465,3703
2641,2952,2729
4324,2603,2834
4126,314,2518
2830,5886,5128
2491,4322,4093
2337,2857,4142
1713,322,3798
1094,723,3342
624,6029,2118
355,5751,1242
402,4847,918
414,4367,707
325,4786,572
389,4885,356
744,5387,217
2570,1049,338
5234,3498,899
6372,3907,2402
5568,3687,4155
4971,3400,4172
4658,2363,3853
5090,1943,3679
5368,1274,3571
5282,785,3889
5550,429,358
5760,265,300
5559,735,342
4896,2368,905
4127,5427,6158
3322,6579,5383
2833,5908,4392
2738,5964,4422
2358,4203,5252
1673,2859,5643
1030,2298,323
706,2065,6824
516,5434,6303
323,5916,4688
366,6179,3724
663,4189,2997
1231,4497,2830
1748,4884,3047
2409,5136,704
3153,5627,4466
3534,5739,3386
3784,4491,2195
4358,3043,1618
4537,2828,1744
4023,2331,2237
4047,1433,2257
2665,5751,930
5868,5303,444
421,5700,295
807,6465,231
1567,339,315
2430,279,831
3281,299,2665
4694,761,5385
4975,2502,6377
4622,5611,5471
2047,5912,4724
787,4952,3996
2189,4205,4462
3154,4662,4924
4443,6490,5406
5235,6488,6301
6674,355,6185
2805,301,4544
2375,345,2850
1705,712,2496
1039,2316,2145
602,5157,1638
345,6439,1407
256,5727,713
336,5398,425
6057,5474,430
6635,5927,5017
6502,4792,4662
4995,3503,5115
4438,2799,6764
4690,2669,4817
5470,2311,3036
3188,1659,3233
2940,361,3531
2545,687,1291
2078,1111,719
1255,1702,414
655,2595,858
4851,3346,1198
3002,3550,2063
756,4096,3628
398,4803,4041
755,4906,4842
2634,4973,4840
5575,4791,4368
6651,4837,3223
5588,4825,2301
4995,4530,2024
4639,3076,2259
5187,2532,2161
5663,3096,964
5457,3125,340
5651,784,325
5939,577,869
6354,246,5526
5508,419,4878
4628,2796,5427
3629,3632,5211
3342,4028,4751
2967,3795,4577
2082,3075,5652
1228,2073,5453
723,3219,5556
565,2215,5142
389,1031,4321
415,331,4405
766,270,3609
3023,310,4360
2759,667,831
2873,1978,2775
2777,4018,5364
347,4397,4936
2807,3731,5663
5552,3339,5361
5108,3551,5960
4481,4048,710
4665,4252,337
4990,4483,2651
4991,4561,5142
5296,2058,5501
5848,1790,4652
6520,1303,3434
6020,275,3239
4382,185,2916
2564,719,2574
1919,719,1450
1130,2424,632
639,2424,290
363,6256,5414
834,5693,5695
2914,4747,5490
6058,5459,6218
6817,6331,5954
6541,6111,4836
5318,2774,2913
4644,346,3203
4900,248,1774
5308,312,1155
5276,737,669
5626,2486,586
6056,6106,385
6410,5394,360
6708,4303,689
3038,4481,1941
1363,4779,3125
5239,4682,3637
5024,5212,4302
5706,5633,4717
5524,6606,5108
5595,6303,4504
6138,4584,4725
3753,3062,4819
3210,2727,5154
2842,2484,5633
2064,1150,3870
1264,289,2713
766,254,1555
5116,4731,545
5053,5258,351
5457,6661,2616
377,5891,737
278,376,1670
370,283,5117
2929,683,6558
6266,2384,5439
5473,5269,744
4698,6593,452
5076,5829,1467
5341,4463,3145
5382,4911,595
412,5206,2632
308,5546,5684
336,6456,6549
792,6142,5124
5274,3633,4363
4816,3033,4804
5301,2439,4880
5602,1690,5650
6112,385,388
6277,658,6466
5628,4947,260
3000,686,2721
1962,462,5709
1164,1153,6731
779,1839,5941
410,3245,5303
877,3616,4782
1452,3813,398
2801,3124,6670
791,2529,5939
5880,2347,5038
5742,1596,4539
4764,1408,4989
4669,1030,5329
4863,692,5418
5184,383,5818
5154,273,2719
4874,261,4655
6378,334,4540
5827,2474,4658
2917,5198,4409
2524,5565,4694
1862,4410,4872
1250,4033,5074
602,434,4328
448,340,3486
333,4389,2524
357,4462,2027
6080,4739,2160
6759,4683,2012
5704,5061,1356
5225,5693,2173
4597,6617,3112
5031,6139,3500
5109,4679,3831
5310,3121,4285
6098,2686,4332
5000,2734,5654
3529,3839,5034
3074,1242,4607
2789,605,4070
2090,389,4317
1311,261,4593
705,747,4459
426,2533,4556
364,5348,4686
376,5330,5266
823,5410,4762
5621,4403,3189
5083,4543,2289
5123,4962,2010
5440,5303,1815
5281,5679,1232
6038,6485,903
6214,6312,490
6321,4334,321
5553,3059,257
4579,2787,378
3539,2545,867
3133,2040,2584
2474,1130,4787
1754,627,4724
1060,378,4219
611,291,4056
463,347,3901
333,638,4262
369,2337,4562
833,5110,2915
1033,6681,2933
1112,5948,2769
1535,4996,2940
2095,4461,2782
2592,4929,2373
3274,5246,1752
3526,5201,1175
2939,5518,849
2843,6037,582
2603,5971,474
2545,4909,332
2461,4053,300
2201,2945,307
2641,2547,300
3512,2396,469
643,2320,862
387,1517,1243
334,945,1808
550,580,2318
1498,472,858
3137,354,304
3702,417,240
3383,678,2706
3486,4907,352
3716,4901,274
4144,4684,309
4544,4760,868
4426,4763,5425
4879,4471,5681
4780,4113,971
4713,3440,5083
4074,2768,4331
3716,2390,2541
3001,2752,538
2683,2258,1954
2849,1103,3002
2558,730,3716
1947,579,4166
1190,338,2573
680,255,1930
611,425,731
366,720,491
436,1080,296
744,1630,336
1310,2428,388
1708,3230,739
2288,3555,1057
2966,3676,2334
3360,4072,2334
3824,4178,3158
3957,4148,5840
3470,4665,5179
2982,3536,4666
2929,1656,4725
5188,1566,4722
5324,2658,5062
5555,1068,5062
5910,522,5819
6680,285,6612
6401,265,6232
316,352,4520
404,742,4520
861,2327,3069
2994,4506,2560
6149,4416,2304
6508,4882,1757
5239,5430,2196
4827,6316,597
5043,6067,388
5343,4454,273
5423,2912,365
5694,2519,2753
6119,2083,5551
6414,1396,5551
6076,909,6210
384,326,5170
4997,243,4633
5297,326,4633
5960,747,4680
5913,2336,4956
6060,4680,5318
6223,4811,5758
6315,5064,6404
5416,6242,6143
4565,6235,6143
3569,4721,4447
3050,3200,3276
4752,2846,2743
4514,2372,2510
4444,1475,1555
4378,1013,1020
4592,526,691
4326,294,420
3977,271,429
3288,315,493
2920,4039,1015
2981,4034,2835
2794,4544,5530
2069,4995,6117
1378,5597,5934
3871,6393,5276
4438,1768,4697
4276,3022,4751
4363,384,4819
1164,372,4984
421,761,5171
277,2546,5759
6200,6274,6632
5294,6076,6070
4636,4444,4492
4996,4829,3362
5176,4432,2804
5931,5858,2547
6550,6579,2000
6100,6095,1147
4897,4831,652
3528,3621,382
3179,2931,322
5679,2861,388
5698,3112,5525
5809,1856,6234
6337,721,5529
5406,525,5083
4843,426,4589
5228,730,5052
5652,1946,5280
6295,4170,5285
6477,3972,5622
6294,3334,6031
419,2768,6512
5837,3169,6092
5781,4198,5025
5799,1997,3806
6180,1230,3066
6327,721,3356
5627,605,4459
4937,348,2049
3807,299,1122
3254,456,5061
3358,5011,4582
2920,4386,4037
2076,4614,4340
1581,4759,4480
2028,4834,2903
3057,5209,2315
3838,5716,2494
4382,6381,2883
4581,6079,2455
4639,4623,1082
4708,3205,691
4741,2669,531
4534,1622,331
3822,5246,318
3434,6544,435
2781,4559,721
2182,4782,811
946,5074,1190
329,5313,1759
869,6353,2206
1191,4704,2611
1629,3098,2936
2572,2896,3213
4036,2344,3541
683,1663,3426
499,967,3215
291,567,3019
330,375,2524
839,278,2712
2897,749,3080
5843,2527,1719
6144,5016,1421
4636,5383,930
5013,5493,701
5193,4425,521
5437,4818,380
5642,5026,619
6403,5015,1089
5719,5493,2694
4331,6011,4739
3404,732,4301
2928,2364,4539
2496,6660,5019
6068,5223,4411
6146,5463,4321
4555,5748,4432
3562,6129,4559
3180,6497,5338
2903,5915,5785
1952,4668,5169
1199,3900,3974
314,3070,2780
2932,2755,4643
6168,2382,4555
5208,1494,4765
5236,757,5450
5626,567,5275
6000,341,4770
6566,402,4929
6155,689,4944
4672,1856,4708
3542,2807,5058
3156,3798,1229
2872,3963,651
2042,4292,435
1248,4673,314
706,4689,363
427,4312,820
310,4422,4919
345,4208,5459
870,4030,4718
2903,3830,4718
6025,4139,4429
6331,1672,4199
6001,985,4716
5213,556,4875
4727,379,4814
5104,338,4848
5340,295,4251
5433,735,3311
5842,5512,2344
2740,4718,2344
