weather_main,traffic_volume
Clouds,4784
Clouds,5015
Clear,5057
Clouds,5430
Clouds,5813
Clouds,6496
Clouds,6429
Clouds,5142
Rain,3311
Clouds,2777
Clouds,2331
Clouds,1767
Clouds,1093
Clouds,554
Clouds,333
Clouds,267
Clouds,358
Clouds,777
Clouds,2732
Clouds,5637
Clouds,5564
Clouds,6274
Rain,5403
Rain,5403
Clouds,4680
Clouds,4642
Clear,4979
Clear,4851
Clear,4291
Clear,4714
Clear,6723
Clear,6180
Clouds,4843
Clouds,3435
Clouds,2921
Clouds,2763
Clouds,1930
Clouds,1160
Clouds,654
Clouds,374
Mist,301
Mist,397
Clouds,794
Mist,2564
Clouds,5358
Clouds,6441
Clouds,5536
Rain,5256
Clouds,4619
Clouds,5107
Rain,5147
Clouds,5283
Clouds,5704
Clouds,5887
Clouds,6307
Clouds,5953
Clouds,4519
Drizzle,3427
Rain,2921
Drizzle,2649
Clouds,2005
Clouds,1177
Clouds,699
Mist,436
Drizzle,353
Mist,353
Mist,399
Drizzle,720
Mist,720
Rain,720
Drizzle,720
Mist,2370
Rain,2370
Drizzle,5162
Mist,5162
Rain,5162
Mist,5777
Rain,5777
Drizzle,5235
Mist,5235
Rain,5235
Rain,4606
Mist,4606
Mist,4328
Clouds,4282
Clouds,4489
Clouds,4908
Mist,5620
Mist,5849
Drizzle,5849
Rain,4945
Rain,4619
Clouds,4479
Clouds,3804
Clouds,2908
Mist,2942
Drizzle,3077
Drizzle,3077
Mist,2051
Rain,2051
Drizzle,2051
Rain,1270
Rain,1270
Drizzle,773
Rain,773
Drizzle,589
Drizzle,432
Mist,432
Mist,401
Drizzle,401
Rain,401
Rain,759
Mist,759
Drizzle,759
Rain,1313
Mist,1313
Drizzle,1313
Rain,1824
Mist,1824
Drizzle,1824
Rain,2787
Mist,2787
Drizzle,2787
Rain,3713
Drizzle,3713
Mist,3713
Drizzle,3713
Rain,3815
Drizzle,3815
Mist,3815
Rain,3815
Rain,4339
Mist,4339
Drizzle,4339
Rain,4613
Mist,4613
Rain,4613
Rain,4613
Rain,4507
Clouds,4452
Clouds,4636
Clouds,4810
Clouds,5125
Clouds,4337
Clouds,3644
Clouds,3107
Clouds,2929
Mist,2865
Fog,2340
Mist,1372
Fog,1928
Mist,1928
Clouds,4695
Clouds,4335
Clouds,1583
Clouds,959
Clouds,498
Clouds,306
Clouds,259
Clouds,324
Mist,806
Mist,2622
Mist,5456
Clear,4324
Clouds,4378
Clouds,4639
Clouds,4546
Clouds,5006
Clouds,5361
Clouds,6101
Clouds,5781
Clouds,4272
Clouds,3091
Clear,2434
Clear,1984
Clouds,1383
Clouds,959
Clouds,511
Clouds,346
Clouds,253
Clouds,349
Clouds,807
Clouds,2669
Clouds,5210
Clouds,6083
Clouds,5790
Clouds,5484
Clouds,4407
Clouds,4725
Clouds,4826
Rain,4945
Clouds,5065
Thunderstorm,5618
Clouds,6094
Clouds,5844
Clouds,4649
Clouds,3180
Clouds,2963
Clouds,2450
Clouds,1613
Clouds,1021
Drizzle,580
Mist,580
Clouds,298
Haze,261
Mist,408
Haze,408
Mist,793
Thunderstorm,793
Mist,2643
Rain,2643
Thunderstorm,2643
Mist,5593
Thunderstorm,5593
Rain,5593
Thunderstorm,5593
Rain,5722
Mist,5722
Drizzle,5607
Mist,5607
Rain,5607
Thunderstorm,5607
Drizzle,5492
Mist,5492
Rain,5492
Mist,4542
Mist,4720
Fog,4720
Mist,4982
Haze,4982
Fog,4982
Haze,5032
Mist,5032
Fog,5032
Mist,5212
Haze,5212
Mist,5661
Haze,5661
Rain,5661
Mist,5812
Haze,5855
Mist,5855
Haze,4416
Mist,4416
Mist,3118
Haze,2877
Mist,2877
Mist,2498
Mist,1701
Mist,1028
Mist,578
Mist,354
Mist,272
Mist,370
Mist,809
Fog,809
Mist,2641
Mist,4957
Mist,6036
Fog,6036
Mist,5309
Mist,4438
Mist,4723
Mist,4879
Clouds,5062
Rain,5450
Mist,5450
Drizzle,5450
Drizzle,5450
Drizzle,5888
Mist,5888
Rain,5888
Drizzle,5888
Rain,5888
Rain,6473
Mist,6473
Drizzle,6473
Rain,6488
Mist,6488
Rain,6488
Drizzle,5351
Mist,5351
Rain,5351
Rain,5351
Drizzle,3500
Mist,3500
Rain,3500
Rain,2856
Mist,2856
Drizzle,2856
Rain,2587
Mist,2587
Drizzle,2587
Clouds,1979
Clouds,1284
Rain,665
Rain,665
Drizzle,665
Drizzle,432
Rain,432
Rain,326
Mist,326
Drizzle,326
Rain,380
Mist,380
Drizzle,380
Drizzle,380
Rain,705
Mist,705
Rain,705
Drizzle,705
Drizzle,705
Rain,2430
Mist,2430
Rain,2430
Thunderstorm,2430
Rain,5426
Mist,5426
Rain,5426
Rain,6499
Rain,6499
Rain,5856
Mist,5856
Rain,5856
Rain,5234
Mist,5234
Snow,5234
Rain,4695
Mist,4695
Rain,4695
Snow,4695
Rain,5341
Snow,5341
Mist,5341
Rain,5341
Mist,5943
Snow,5943
Snow,5874
Snow,5879
Mist,5879
Snow,6060
Clouds,6348
Clouds,5955
Clouds,5341
Clouds,4144
Clouds,3249
Clouds,3017
Clouds,2765
Clouds,1894
Clouds,1159
Clouds,822
Clouds,641
Clouds,411
Clear,468
Clear,723
Clear,1415
Clouds,2191
Clouds,3185
Clouds,4076
Clear,4522
Clouds,6012
Clouds,5975
Clouds,5307
Clouds,4678
Clouds,4405
Clouds,4403
Clouds,4311
Clouds,4198
Clouds,3475
Clouds,3078
Clouds,2931
Clouds,2941
Clouds,2240
Clouds,1564
Clouds,795
Clouds,447
Clouds,443
Clouds,330
Clouds,453
Clouds,755
Clouds,953
Clear,1650
Clear,2442
Clear,3230
Clear,3575
Clouds,4139
Clouds,3892
Clouds,3989
Clouds,4294
Clouds,4521
Clouds,4280
Clouds,3945
Clouds,3169
Clouds,2772
Clouds,2213
Clouds,1570
Clouds,1065
Clouds,530
Haze,331
Mist,270
Clouds,316
Clouds,799
Clouds,2513
Clouds,5503
Clouds,6642
Clouds,6195
Clouds,5246
Clouds,4460
Clouds,4580
Snow,4771
Clouds,4836
Clouds,5138
Clouds,5606
Clouds,6120
Clouds,5985
Clouds,4418
Clouds,3089
Clouds,2636
Clouds,2117
Clouds,1437
Clouds,920
Clouds,600
Clouds,393
Clouds,298
Clear,352
Clouds,762
Clouds,2519
Clouds,5478
Clouds,6728
Clouds,5972
Clouds,5280
Clouds,4626
Clouds,4947
Clouds,5125
Clouds,5130
Clouds,5394
Clouds,5837
Clouds,6222
Clouds,5992
Clouds,4578
Clouds,3246
Clouds,2834
Clouds,2578
Clouds,1979
Clouds,1326
Clouds,541
Clear,346
Clear,265
Clear,338
Clear,765
Clear,2611
Clear,5577
Clear,6908
Clouds,6079
Clouds,5309
Clouds,4567
Clouds,4804
Clouds,5041
Clouds,5051
Clouds,5274
Clouds,5936
Clouds,6128
Clouds,5821
Clouds,4040
Clouds,2711
Clouds,2690
Clear,2539
Clear,1925
Clear,1471
Clear,716
Clear,453
Clear,324
Clear,390
Clear,775
Clear,2572
Clear,5595
Clear,6852
Clouds,5892
Clear,5327
Clear,4756
Clouds,5073
Clouds,5286
Clouds,5189
Clear,5495
Clear,5713
Clear,6317
Clouds,6306
Clouds,4867
Clouds,3501
Clouds,3110
Clouds,2727
Clouds,1825
Drizzle,1222
Clouds,611
Haze,441
Clouds,331
Clouds,365
Clouds,708
Clouds,2379
Clouds,5236
Clouds,6509
Clouds,5723
Clouds,5239
Clouds,4723
Clouds,5330
Clouds,5403
Clouds,5446
Clear,5669
Clouds,6093
Clouds,6323
Clouds,5856
Clouds,4987
Clouds,3681
Clouds,2902
Clouds,2929
Clear,2728
Clear,1693
Clouds,1166
Clouds,724
Clouds,568
Clouds,343
Clouds,383
Clear,703
Clouds,1229
Clouds,2057
Clouds,3246
Clouds,4390
Clouds,4573
Clouds,4269
Clouds,4833
Clouds,4442
Clouds,4397
Clouds,4314
Clouds,4413
Clouds,4125
Clouds,4004
Clouds,3404
Clouds,2777
Clouds,2579
Clouds,2552
Clouds,1952
Clouds,2125
Clouds,730
Clouds,730
Clouds,345
Clouds,223
Clouds,488
Clouds,710
Clouds,1165
Rain,2067
Snow,2067
Clouds,2911
Clouds,3527
Clouds,3765
Clouds,4063
Clouds,4043
Clouds,4200
Clouds,4105
Clouds,4015
Clouds,3620
Clouds,3652
Clouds,2837
Clouds,2446
Clouds,1950
Clouds,1451
Rain,999
Clouds,1720
Clouds,1299
Clouds,304
Clouds,412
Mist,753
Clouds,2562
Clouds,5658
Clear,6877
Clouds,5981
Clouds,4999
Clouds,4408
Clouds,4575
Clouds,4710
Clouds,4648
Clear,4968
Clear,6124
Clear,6134
Clear,4265
Clear,2415
Clear,1963
Clear,1454
Clear,938
Clear,537
Clear,313
Clear,256
Clear,356
Clear,788
Clear,2565
Clear,5330
Clear,6181
Clear,6182
Clear,5720
Clear,4612
Mist,4666
Clouds,5022
Clouds,5490
Clouds,5973
Mist,6201
Mist,5453
Haze,3921
Mist,3921
Haze,2835
Mist,2835
Haze,2450
Mist,2450
Haze,2078
Drizzle,2078
Mist,2078
Haze,1671
Rain,1671
Drizzle,1671
Haze,1472
Mist,1472
Haze,792
Rain,792
Mist,792
Rain,811
Mist,811
Rain,671
Mist,671
Rain,671
Snow,671
Rain,474
Mist,474
Rain,474
Rain,790
Mist,790
Rain,2619
Mist,2619
Rain,5788
Mist,5788
Drizzle,5788
Drizzle,7088
Mist,7088
Mist,6264
Drizzle,6264
Clouds,5230
Clouds,4567
Clouds,4769
Clouds,5011
Clouds,4889
Rain,5367
Rain,5678
Drizzle,5678
Rain,6267
Mist,6267
Drizzle,6267
Drizzle,6267
Mist,6057
Rain,6057
Mist,4883
Clouds,2927
Clouds,2594
Clouds,2347
Rain,1544
Clouds,1219
Clouds,783
Clouds,357
Clouds,286
Clouds,396
Clouds,791
Clouds,2681
Clouds,5614
Clouds,6834
Clouds,6280
Clouds,5460
Clouds,4670
Clouds,5071
Clouds,5246
Clouds,5039
Clouds,5411
Clouds,5866
Clouds,6556
Clouds,6204
Clouds,4688
Clouds,3326
Clouds,3229
Clouds,2790
Clouds,1946
Clouds,1181
Clouds,649
Clouds,422
Clouds,340
Clouds,365
Clouds,683
Clouds,2471
Clear,5538
Clear,6880
Clear,5906
Clear,5234
Clear,4719
Clouds,5304
Clear,5487
Clouds,5532
Clouds,5816
Clouds,5958
Clouds,6455
Clouds,6154
Clouds,5330
Clouds,3540
Clear,3193
Clear,2948
Clouds,2496
Clouds,1707
Clear,1090
Clear,735
Clear,537
Clouds,371
Clouds,397
Clouds,696
Mist,1301
Clouds,1932
Clouds,2952
Clouds,3529
Clouds,3837
Clouds,4338
Clouds,4762
Clouds,4367
Clouds,4369
Clear,4536
Clear,4520
Clouds,4677
Clouds,4025
Clouds,3128
Clouds,2905
Clouds,2853
Clouds,3288
Clouds,2239
Haze,1381
Drizzle,922
Rain,922
Haze,922
Mist,922
Mist,626
Haze,626
Drizzle,626
Rain,331
Mist,331
Haze,331
Thunderstorm,331
Thunderstorm,304
Mist,304
Haze,304
Thunderstorm,304
Drizzle,304
Mist,462
Thunderstorm,462
Rain,462
Thunderstorm,793
Mist,793
Rain,793
Rain,793
Drizzle,1120
Mist,1120
Rain,1120
Mist,1797
Drizzle,1797
Mist,2687
Rain,2687
Drizzle,2687
Drizzle,2687
Rain,2687
Mist,3961
Rain,3961
Mist,4086
Mist,3710
Drizzle,3710
Mist,3733
Haze,3733
Haze,3666
Mist,3666
Haze,4012
Mist,4012
Mist,4169
Mist,3636
Thunderstorm,3390
Mist,3390
Mist,2660
Clouds,2173
Clear,1924
Clear,2863
Clear,1000
Clear,352
Clear,263
Clear,341
Clear,761
Clear,2467
Clear,5242
Clear,5390
Clear,2029
Clear,2096
Clouds,2892
Snow,4245
Mist,4245
Snow,4148
Clouds,4362
Clouds,4619
Clouds,4755
Clouds,5187
Clouds,5186
Clouds,3854
Clouds,2641
Snow,2222
Snow,1943
Snow,1437
Snow,2409
Snow,905
Clouds,367
Snow,290
Clouds,317
Clouds,775
Snow,2571
Snow,5541
Snow,6529
Snow,6242
Mist,6242
Snow,5438
Snow,4656
Snow,4759
Snow,4943
Clouds,4924
Clouds,5409
Clouds,5664
Clouds,6436
Clouds,6212
Clouds,4324
Clouds,2948
Clouds,2604
Clouds,2192
Clear,1563
Clouds,1346
Clouds,535
Clear,325
Clear,252
Clear,361
Clear,795
Clear,2620
Clear,5730
Clear,6792
Clear,6199
Clear,5216
Clouds,4864
Clear,5477
Clear,5654
Clear,5761
Clear,6131
Clouds,6415
Clouds,7189
Clouds,6968
Clouds,5182
Clouds,3536
Clouds,3052
Clouds,2665
Clouds,2044
Clouds,1841
Clouds,575
Clouds,325
Clouds,294
Clouds,371
Clouds,817
Clouds,2657
Clouds,5814
Clouds,6761
Clouds,6171
Clouds,5387
Clouds,4704
Clear,4811
Clear,5115
Clouds,5114
Clouds,5597
Clouds,5801
Clouds,6570
Clouds,6396
Clouds,4717
Clouds,3398
Clouds,3258
Clouds,2681
Clouds,1367
Clouds,662
Rain,435
Rain,332
Rain,391
Rain,708
Rain,2477
Rain,5527
Clear,6517
Clear,5360
Clear,5177
Clear,4661
Clear,5129
Clear,5326
Clear,5488
Clear,5489
Clear,5835
Clear,6427
Clear,6093
Clear,5074
Clear,3522
Clear,2818
Clear,2804
Clear,2639
Clear,1766
Clear,1091
Clear,739
Clear,642
Clear,404
Clear,407
Clear,753
Clear,1381
Clear,2046
Clouds,3031
Clouds,3842
Clouds,4233
Clouds,4416
Clouds,4753
Clouds,4525
Clouds,4628
Clouds,4546
Clouds,4516
Clouds,4468
Clouds,3265
Clouds,2608
Clouds,2770
Clear,2661
Clear,2191
Clear,1293
Clear,861
Clear,644
Haze,368
Haze,293
Clear,482
Clear,774
Clouds,1052
Haze,1722
Haze,2561
Clouds,3232
Clouds,3630
Clouds,3999
Clouds,4075
Clouds,3966
Clouds,4083
Clouds,4277
Clouds,4368
Clouds,3504
Clouds,3575
Clouds,2702
Clouds,2007
Clouds,1505
Clouds,961
Clouds,476
Clouds,311
Clouds,268
Clouds,364
Clouds,789
Clouds,2579
Clouds,5546
Clouds,6831
Clouds,5884
Clouds,5133
Clouds,4518
Clouds,4564
Clear,4925
Clear,4866
Clouds,5118
Clouds,5473
Clouds,6276
Clouds,5908
Clouds,4239
Clouds,3011
Clouds,2644
Clouds,2150
Clouds,1539
Clouds,970
Clouds,504
Clouds,327
Clouds,254
Clouds,346
Clouds,775
Clouds,2568
Clouds,5647
Clouds,6824
Clouds,5989
Clouds,5419
Clouds,4826
Clouds,5003
Clouds,5099
Clouds,5264
Clouds,5561
Clouds,5721
Clouds,6521
Clouds,6019
Clouds,4525
Clear,3385
Clear,2999
Clear,2642
Clear,2050
Haze,1211
Mist,667
Mist,399
Clear,269
Clear,412
Mist,746
Mist,2489
Mist,5343
Fog,5343
Mist,6138
Fog,6138
Haze,5413
Mist,5413
Fog,5413
Mist,5041
Haze,5041
Fog,5041
Haze,4875
Fog,4875
Mist,5266
Clouds,5656
Clouds,5561
Clouds,5963
Clouds,5928
Clouds,5733
Clouds,4964
Clouds,4179
Clouds,3267
Clouds,2787
Clouds,2432
Clouds,1972
Clouds,1399
Mist,919
Mist,634
Clear,411
Clear,317
Clear,252
Clear,380
Clouds,881
Clouds,1094
Clouds,1119
Haze,1674
Clouds,2477
Clouds,3245
Clouds,3461
Clouds,3213
Clouds,3090
Clouds,3068
Clouds,3152
Clouds,3023
Clouds,3083
Clouds,3010
Clouds,3002
Clouds,2533
Clouds,1958
Clouds,1390
Clouds,693
Clouds,482
Clouds,370
Clouds,341
Clouds,456
Clouds,1105
Clouds,2069
Clouds,2381
Clouds,2364
Clouds,2783
Clouds,3230
Clouds,3586
Clouds,3947
Clouds,3800
Clouds,4231
Snow,4174
Rain,4079
Snow,4079
Snow,3900
Mist,3900
Snow,3420
Mist,3420
Snow,2876
Fog,2876
Snow,2876
Mist,2876
Snow,2543
Mist,2543
Snow,2543
Haze,2221
Snow,2148
Snow,1512
Mist,1512
Snow,917
Snow,611
Haze,611
Snow,470
Snow,322
Mist,322
Snow,299
Snow,574
Snow,1017
Snow,1348
Snow,1878
Snow,2753
Clouds,3178
Clouds,3880
Clear,4312
Clear,4494
Clouds,4206
Clouds,4204
Clouds,4449
Clouds,4357
Clouds,3905
Clouds,3068
Clouds,2779
Clear,689
Clear,536
Clear,322
Clear,271
Clear,426
Clear,726
Clear,910
Clouds,1366
Clouds,2222
Clouds,2918
Clouds,3413
Clouds,3724
Clouds,3949
Clouds,4076
Clouds,4729
Clouds,4880
Clouds,4435
Clouds,3749
Clouds,3381
Clouds,2809
Clouds,2150
Snow,1533
Clouds,925
Clouds,524
Clouds,293
Clouds,258
Clouds,337
Clouds,771
Clouds,2496
Clouds,5529
Clouds,6752
Clouds,5787
Clouds,4699
Clouds,4271
Clouds,4314
Clouds,4603
Clouds,4816
Snow,5449
Clouds,6238
Clouds,5761
Clouds,4022
Clouds,2874
Clouds,2362
Clouds,2098
Clouds,1342
Clouds,944
Clouds,459
Clouds,303
Snow,247
Clouds,337
Snow,781
Snow,2601
Snow,5639
Clouds,6768
Clouds,6116
Clear,5215
Clear,4315
Clear,4497
Clear,4799
Clear,4884
Clear,5234
Clear,5665
Clear,6428
Clear,6092
Clear,4317
Clear,3137
Clear,2647
Clear,2194
Clear,1523
Clear,949
Clear,510
Clouds,342
Clouds,245
Clouds,352
Clouds,759
Clouds,2638
Clouds,5816
Clouds,6995
Clouds,6071
Clouds,5228
Clouds,4570
Clouds,4809
Clouds,4839
Clouds,4837
Clouds,5290
Clouds,5621
Clouds,6116
Clouds,5813
Clouds,4314
Clouds,3077
Clear,2691
Clear,2297
Clear,1568
Clear,1020
Clouds,561
Clouds,358
Clouds,279
Clouds,363
Clouds,784
Clouds,2612
Clouds,5608
Clouds,7020
Clouds,6072
Clouds,5403
Clouds,4566
Clouds,4906
Clouds,5081
Clear,5101
Clouds,5463
Clouds,5945
Clouds,6489
Clouds,6078
Clouds,4522
Clouds,3293
Clouds,2913
Clouds,2571
Clouds,1070
Clouds,591
Clear,382
Clear,340
Clear,381
Clear,784
Clear,2468
Clear,5503
Clouds,6615
Clouds,5913
Clouds,5171
Clouds,4840
Clouds,5263
Clouds,5446
Clouds,5746
Clouds,6110
Clouds,6749
Clouds,5518
Clouds,5420
Clouds,3618
Clouds,3020
Clouds,2987
Clouds,2644
Clouds,1799
Clouds,1103
Clouds,702
Clouds,588
Clouds,411
Clouds,384
Clouds,748
Clouds,1274
Haze,2192
Haze,2953
Mist,2953
Haze,3648
Mist,3648
Haze,3971
Mist,3971
Haze,4618
Mist,4618
Haze,5161
Mist,5161
Haze,4986
Mist,4986
Haze,4919
Mist,4919
Haze,4819
Mist,4819
Haze,5085
Mist,5085
Clouds,5231
Haze,4788
Mist,4788
Mist,3288
Haze,3288
Mist,2746
Haze,2746
Mist,2616
Mist,2489
Mist,1917
Mist,1341
Mist,825
Mist,627
Mist,339
Mist,301
Mist,447
Mist,667
Mist,1029
Mist,1613
Rain,3179
Rain,3642
Rain,3770
Mist,3924
Haze,3924
Mist,3696
Haze,3696
Mist,4329
Haze,4329
Haze,4135
Mist,4135
Haze,3938
Mist,3938
Haze,3243
Mist,3243
Mist,2731
Mist,2319
Mist,2093
Mist,2350
Mist,930
Rain,930
Mist,496
Fog,496
Fog,273
Mist,273
Mist,234
Fog,234
Mist,291
Fog,291
Mist,802
Fog,802
Fog,2518
Fog,5506
Fog,6393
Fog,5800
Mist,5800
Fog,5064
Mist,5064
Mist,4442
Fog,4442
Mist,4544
Fog,4544
Fog,4777
Mist,4777
Mist,4810
Fog,4810
Mist,5310
Mist,5678
Mist,6334
Mist,5914
Mist,4179
Mist,3076
Mist,2478
Mist,2159
Mist,1399
Mist,1006
Mist,516
Mist,346
Mist,253
Mist,347
Mist,802
Mist,2638
Mist,7051
Mist,6112
Drizzle,5388
Mist,5388
Mist,4489
Drizzle,4489
Rain,4731
Mist,4731
Drizzle,4731
Mist,4816
Haze,4918
Clouds,5292
Clouds,5657
Clouds,6647
Clouds,6434
Clear,4551
Clear,3186
Clear,2773
Clear,2360
Clear,1811
Clear,2544
Clear,381
Clear,264
Clear,341
Clear,783
Clear,2612
Clear,5900
Clouds,5922
Clouds,6888
Clear,5345
Clear,4536
Clear,4757
Clear,4961
Clear,4967
Clear,5346
Clear,5867
Clear,6605
Clear,6074
Clear,4557
Clear,3177
Clear,2788
Clear,2416
Clear,1946
Clouds,1056
Clouds,536
Clouds,348
Clouds,273
Clouds,382
Clouds,780
Clouds,2627
Clouds,5545
Clouds,6789
Clouds,6298
Clouds,5391
Clouds,4540
Clouds,5001
Clouds,5098
Clouds,5113
Clouds,5522
Clouds,5879
Clouds,6695
Clouds,6587
Clouds,4564
Clouds,3429
Clouds,2983
Clouds,3225
Clouds,2092
Clouds,1204
Clouds,629
Clouds,419
Clouds,322
Drizzle,375
Clouds,743
Clouds,2480
Drizzle,5555
Drizzle,5555
Clouds,6012
Clouds,5253
Clouds,4832
Clouds,5404
Clouds,5654
Clouds,5727
Clouds,5918
Clouds,5938
Clouds,6082
Clouds,5376
Clouds,4270
Clouds,3231
Clouds,2617
Clouds,2995
Clouds,2652
Clouds,1667
Clouds,1072
Clouds,674
Clouds,526
Clouds,356
Clouds,418
Clouds,713
Clouds,1192
Clouds,1881
Clouds,2687
Clouds,3421
Clouds,3724
Clouds,4465
Clouds,5009
Snow,5163
Snow,4621
Snow,4807
Mist,4807
Snow,4983
Mist,4983
Snow,5327
Mist,5327
Clouds,3137
Clouds,2678
Clouds,2911
Clouds,2716
Clouds,1860
Clouds,774
Clouds,540
Clouds,321
Clouds,291
Clouds,458
Clouds,759
Clear,938
Clear,1438
Clear,1916
Clear,2483
Clear,2299
Clear,1824
Clouds,1686
Clouds,1715
Mist,1989
Mist,1773
Mist,1607
Mist,1338
Clouds,1261
Clouds,1031
Clouds,944
Clouds,982
Snow,641
Snow,357
Snow,268
Mist,268
Snow,268
Snow,216
Mist,216
Snow,216
Snow,339
Mist,339
Snow,339
Snow,794
Mist,794
Snow,794
Snow,2139
Mist,2139
Snow,3902
Mist,3902
Snow,4433
Mist,4433
Snow,4265
Fog,4265
Snow,4265
Mist,4265
Snow,4057
Fog,4057
Snow,4057
Mist,4057
Fog,3599
Snow,3599
Snow,3599
Mist,3599
Snow,3761
Fog,3761
Snow,3761
Fog,3866
Snow,3866
Snow,3866
Fog,3882
Snow,3882
Snow,3882
Snow,4205
Fog,4205
Snow,4205
Snow,4400
Fog,4400
Snow,4400
Snow,4685
Fog,4685
Snow,4685
Snow,4208
Mist,4208
Snow,4208
Fog,4208
Snow,3516
Mist,3516
Snow,2520
Mist,2520
Snow,2520
Snow,2131
Mist,2131
